"sport","ridere","maschio","inter_ai","fantascienza","idoli","new_engmath","new_computer","new_tech","new_lc","education","body_type","drinks","smokes","age","diet","drugs","height","income","last_online","offspring","orientation","pets","religion","sign","status","where_town","religion_modifer","sign_modifer","asian","black","hispanic_latin","indian","middle_eastern","native_american","other","pacific_islander","white","essay_length","art","being","care","company","data","eyes","family","friend","girl","hair","heart","honest","im","internet","lab","law","listening","love","mechanical","name","nerd","old","relationship","school","science","scientist","silicon","smile","student","teacher","tech","therapist","true","web","wine","writing","Class"
1,0,1,5.58259958071279,0,0,0,0,1,0,"graduated_from_masters_program","fit","socially","no",31,0.18118467128106,0.185388844491007,74,0.180083857442348,1,0.196591243020864,"straight",0.18539976825029,0.163585434173669,0.267741935483871,"single",0.196789722539415,0.176212938005391,0.197122302158273,0,0,0,0,0,0,0,0,1,3.27114431794908,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,1,0,5.94276729559748,0,0,0,0,0,0,"graduated_from_college_university","curvy","socially","sometimes",33,0.184912080310788,0.185388844491007,61,0.180083857442348,0,0.122549313483757,"straight",0.165853739737855,0.147512924506133,0.202898501452895,"single",0.196789722539415,0.19193427226716,0.135135157593572,0,0,1,0,0,0,0,0,0,3.09864372581706,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,1,7.02327044025157,0,0,0,0,0,0,"graduated_from_masters_program","average","socially","no",39,0.184912080310788,0.185388844491007,72,0.180083857442348,0,0.196591243020864,"straight",0.185785534111263,0.229508148557225,0.156387722714267,"single",0.196789722539415,0.19193427226716,0.227089311475901,0,0,0,0,0,0,0,0,1,2.35983548233989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,1,9.0041928721174,0,0,0,0,0,0,"graduated_from_college_university","average","rarely","no",50,0.166667326361402,0.185388844491007,67,0.180083857442348,1,0.122549313483757,"straight",0.18539976825029,0.163585434173669,0.267741935483871,"single",0.196789722539415,0.176212938005391,0.197122302158273,1,0,0,0,0,0,0,0,1,2.90794852161227,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,27.1786932205747,0,0,0,0,0,0,"graduated_from_high_school","average","socially","no",54,0.181150021616948,0.185388844491007,63,0.503309133714346,1,0.196591243020864,"straight",0.185785534111263,0.179640727123572,0.150246384861121,"single",0.115983120957396,0.19193427226716,0.135135157593572,0,0,0,0,0,0,0,0,1,2.86628733908419,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,1,9.90461215932914,0,0,0,0,0,0,"graduated_from_high_school","a_little_extra","socially","no",55,0.181150021616948,0.185388844491007,60,0.180083857442348,0,0.215753310776333,"straight",0.185785534111263,0.116959140983461,0.140665068631538,"single",0.135136415232021,0.19193427226716,0.135135157593572,0,0,0,1,0,0,1,0,1,3.3807537708039,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
0,0,1,5.94276729559748,0,0,0,1,0,0,"graduated_from_college_university","overweight","socially","no",33,0.184912080310788,0.185388844491007,71,0.180083857442348,1,0.196591243020864,"gay",0.185785534111263,0.229508148557225,0.150246384861121,"single",0.388886977898353,0.180527387368383,0.227089311475901,0,0,0,0,0,0,0,0,1,3.37712404234646,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
0,1,0,4.32201257861635,0,0,0,0,0,0,"working_on_college_university","full_figured","socially","no",24,0.181150021616948,0.185388844491007,69,0.180083857442348,1,0.196591243020864,"gay",0.0821931548882892,0.120482052244875,0.160804074612878,"single",0.116667763870602,0.19193427226716,0.135135157593572,1,1,1,1,1,1,0,1,1,3.65224634100332,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,NA
1,0,0,6.06382352315401,0,0,0,0,0,0,"graduated_from_college_university","athletic","socially","no",30,0.18118467128106,0.185388844491007,68,0.2021274507718,1,0.179122186687798,"straight",0.210927536940868,0.147512924506133,0.156387722714267,"single",0.271522589254376,0.19193427226716,0.227089311475901,0,0,0,0,0,0,0,0,1,3.27485032001666,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,NA
0,1,0,4.00002595933374,0,0,0,0,0,0,"graduated_from_masters_program","fit","socially","sometimes",36,0.230215741518451,0.159178463827389,66,0.111111832203715,1,0.196591243020864,"straight",0.18539976825029,0.229508148557225,0.164319291504011,"single",0.173809544501085,0.19193427226716,0.227089311475901,0,0,0,0,0,0,0,0,1,3.67605312465187,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,NA
